product,cost_proxy,avg_unit_price,total_revenue,total_quantity,margin_estimate_percent,gap_to_20_percent
Beetroot Juice,70.0,70.0,980.0,14.0,0.0,20.0
Black Chilly,67.848,78.74098360655738,253825.32,3193.21,13.833944037308463,6.166055962691537
CABBAGE,20.355999999999998,24.739945355191256,78451.57,3125.76,17.720109289858886,2.279890710141114
CALIFORINA RED GRAPES,364.0,439.6092948717949,123298.41,288.99,17.199202963587275,2.8007970364127246
CALIFORNIA BLACK seedless GRAPES,349.0,349.0,427.18,1.22,0.0,20.0
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,1800.0,1797.6623376623377,39896.82,22.2,-0.13003901170351023,20.13003901170351
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,1050.0,1050.0,19940.55,18.98,0.0,20.0
CAPSICUM,56.564,71.63469945355192,137833.5,1889.74,21.038267164537753,0.0
CAPSICUM RED SAMBERRY,284.0,332.7814525139665,58228.08,174.75,14.65870532911361,5.3412946708863895
CAPSICUM YELLOW SAMBERRY,284.0,337.52329608938544,66726.47,197.74,15.857659814749795,4.142340185250205
CARROT,39.0,62.026721311475406,410615.81,6576.82,37.12387310598552,0.0
CARROT JUICE,70.0,70.0,4060.0,58.0,0.0,20.0
CARROT N BEETROOT JUICE,70.0,70.0,2940.0,42.0,0.0,20.0
CARRY BAG 8Kg HOLDING CAPACITY,12.0,11.99950819672131,40185.6,3350.0,-0.004098528628235001,20.004098528628234
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,6.0,6.0,53298.0,8949.0,0.0,20.0
CARRY BAG SML 1Kg HOLDING CAPACITY,3.0,3.0,12.0,4.0,0.0,20.0
CASHEW 320 COUNT 250 GM,300.0,300.0,1500.0,5.0,0.0,20.0
CASHEW 320 KG FLYBERRY,1150.0,1150.0,34506.9,29.98,0.0,20.0
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,1100.0,1100.0,25410.0,23.45,0.0,20.0
CASHEW TIKKA FLAVOUR FLYBERRY,1800.0,1800.0,12682.8,7.05,0.0,20.0
CASHEW WITH CHOCO COATED FLYBERRY,1100.0,1100.0,233.2,0.21000000000000002,0.0,20.0
CAULIFLOWER,30.0,34.70950819672131,127826.1,3671.0,13.568351847653586,6.431648152346414
CDM CRACKLE 36G,50.0,50.0,50.0,1.0,0.0,20.0
CHAKKI ATTA GODHUMA PINDI 1Kg,65.0,65.0,520.0,8.0,0.0,20.0
CHAMA DUMPA,39.0,45.53508196721312,38453.09,859.72,14.351751846891608,5.648248153108392
CHAMANTHI FLOWERS POOLU KG LOOSE,436.0,436.0,1308.87,3.0,0.0,20.0
CHANA DAL 1Kg,126.0,128.25,4113.0,32.0,1.7543859649122806,18.24561403508772
CHANA DAL 250g VELLANKI FOODS,130.0,130.9090909090909,5250.0,40.0,0.6944444444444425,19.305555555555557
CHANA DAL 500g,65.0,65.24096385542168,7445.0,115.0,0.36934441366573706,19.630655586334264
CHAT MURMURA 500 GM,65.0,62.63636363636363,4680.0,74.0,-3.7735849056603827,23.773584905660382
CHEDDAR CHEESE 200g MILKY MIST,150.0,150.0,900.0,6.0,0.0,20.0
CHEESE BLOCK 200G HERITAGE,132.0,131.74074074074073,4217.0,32.0,-0.1967950520101265,20.196795052010128
