Product ID,Product Name,Current Category,AI-Suggested Category,multi_suggested_categories,confidence_score,mapping_status,reason,Final Category,Validation Status,Version,Generated At,product_revenue
SKU-C9C26D334C,CHAMANTHI FLOWERS POOLU KG LOOSE,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,1308.87
SKU-0377FF2050,CHANA DAL 1Kg,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,4113.0
SKU-6F6207F417,CHANA DAL 250g VELLANKI FOODS,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,5250.0
SKU-B34ED06A17,CHANA DAL 500g,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,7445.0
SKU-D03F4A679F,CHAT MURMURA 500 GM,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,4680.0
SKU-8D65357EF1,CHEDDAR CHEESE 200g MILKY MIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,900.0
SKU-ED2D3127DD,CHEESE BLOCK 200G HERITAGE,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,4217.0
SKU-3189105343,CHEESE BLOCK 200G MILKY MIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,1570.0
SKU-2776C0D950,CHEESE CUBES 120g HERITAGE,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,1178.35
SKU-D7927CCDBE,CHEESE CUBES 120g MILKY MIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,1373.0
SKU-0666FB5AD6,CHEESE CUBES 200g MILKY MIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,845.0
SKU-21BB55CA8D,CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,2025.0
SKU-006B9A113B,CHEESE SLICE 100G MILKY MIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,8664.470000000001
SKU-9E747E0A28,CHEESE SLICES 100g AMUL 5PC PACK,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,6415.0
SKU-E6DE10CFCA,CHEESE SLICES 100g HERITAGE,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,2070.0
SKU-F7F6863E90,CHEESE SLICES 200g AMUL 10PC PACK,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,10199.57
SKU-DA0DE0EACE,CHEESE SLICES 200g HERITAGE,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,1935.0
SKU-F445E3F345,CHEESE SLICES 200g MILKYMIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,8514.0
SKU-B4158500D7,CHEESE SPREAD 200g AMUL,unknown,Dairy,Dairy,100.0,auto,Matched keywords: cheese,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,550.0
SKU-A5BC8DCE3C,CHEESE SPREAD GARLI 200g MILKY MIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,715.0
SKU-0BC48D505C,CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,unknown,Dairy,Dairy,100.0,auto,"Matched keywords: milk, cheese",,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,355.0
SKU-432D5B7109,CHEGODI 250g VELLANKI FOODS,unknown,Snacks,Snacks,100.0,auto,Matched keywords: chegodi,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,51264.0
SKU-0C7DE9CDD5,CHERRY LOCAL ANAND,unknown,,,0.0,unknown,,,PENDING VALIDATION,metadata_builder.py-2025-11-07T19:16:45,2025-11-07T19:16:45,60574.0
