product,sales_velocity,turnover_proxy,total_quantity,total_revenue
CUMIN JEERA KG FLYBERRY,0.005436893203883496,1.9844660194174761,0.56,528.2
CURD 135g POUCH MILKY MIST,9.738888888888889,3554.6944444444443,1753.0,17530.0
CURD 500g POUCH HERITAGE,17.120218579234972,6248.879781420765,3133.0,155741.25
CURD CUP 200G HERITAGE,1.4316939890710383,522.568306010929,262.0,6525.0
CURD CUP 400GHERITAGE,2.3934426229508197,873.6065573770492,438.0,20063.0
CURD POUCH 400g MILKY MIST,5.076502732240437,1852.9234972677593,929.0,38764.0
CURD TUB 1KG HERITAGE,4.939890710382514,1803.0601092896175,904.0,98142.23
CURRY LEAVES,3.4701092896174863,1266.5898907103824,635.03,59596.840000000004
CUSTARD APPLE ANAND,8.338965517241379,3043.722413793103,725.49,195140.17
DABBAKAI,0.2696629213483146,98.42696629213484,48.0,2415.0
DALCHINI 50g,0.659217877094972,240.6145251396648,118.0,7080.0
DALMOTI 250g VELLANKI FOODS,0.7540983606557377,275.24590163934425,138.0,20920.0
DAMPUDU BIYYAM 1Kg AISHWARYA,0.12,43.8,6.0,445.0
DARK CHOCOLATE 150g AMUL,0.5263157894736842,192.10526315789474,10.0,2000.0
DARK CHOCOLATE 150g BEST WISHES AMUL,0.10714285714285714,39.107142857142854,18.0,3736.0
DASHERI MANGO KG LOOSE,8.045940594059406,2936.768316831683,812.64,173487.08
DATE BITES 160g FLYBERRY,1.4537037037037037,530.6018518518518,157.0,46823.4
DATES POWDER 180g FLYBERRY,0.02666666666666667,9.733333333333334,4.0,1596.0
DEHYDRATED GINGER  KGS FLYBERRY,0.12,43.8,0.12,126.27
DEHYDRATED KIWI KG FLYBERRY,0.008679245283018869,3.1679245283018873,1.3800000000000001,1214.52
DEHYDRATED MANGO KG FLYBERRY,0.017672955974842766,6.45062893081761,2.81,3502.5
DEHYDRATED PAPAYA  KGS FLYBERRY,0.030000000000000002,10.950000000000001,0.21000000000000002,173.34
DEHYDRATED PINEAPPLE KG FLYBERRY,0.010392156862745099,3.793137254901961,1.59,1922.4
DERI DATES KG FLYBERRY,0.014393063583815027,5.253468208092484,2.4899999999999998,2215.8
DESI COW GHEE 500ml JIVIKA ORGANICS,0.07575757575757576,27.651515151515152,10.0,9990.0
