product_name,current_category,layer_1_score
PANDU MIRAPAKAI PICKLE 500g AHA,,0
TOMATO PICKLE  500g AHA,vegetables,0
BABY CORN PEELED SAMBERRY,,0
CHAKKI ATTA GODHUMA PINDI 1Kg,,0
HEKATPY BUCK WHEAT COOKIES 125g,,0
POMEGRANATE CANE,fruits,0
STRAWBERRY LOCAL ANAND BOX,fruits,0
VANILLA FLAVOURED MIILK 180ML HERITAGE,,0
BANANA TREE,fruits,0
BAT PAPAD 200G EVR,,0
CORN FLAKES 200G EVR,,0
HIMALAYAN HONEY 225g APIS,,0
MILLET DOSA BATTER 1Kg DSL,,0
NALLA KARAM 250g AHA,,0
WHEELS PAPAD 200g EVR,,0
WHITE JOWAR SORGHUM RAWA 500GMS SRI AHARYA,,0
AASHIRVAD CORIANDER PWD 200G,vegetables,0
DAMPUDU BIYYAM 1Kg AISHWARYA,,0
LEMON PICKLE 500g  AHA,fruits,0
NARINJAAKAYA KG LOOSE,,0
PLAIN CUP PAPAD 200G EVR,,0
TUTTI FRUITY KG FLYBERRY,,0
IGURU KARAM 100g VELLANKI FOODS,,0
NALLA KARAM 100g VELLANKI FOODS,,0
TATA IODISED CRYSTAL SALT 1KG,,0
TRIANGLE PAPAD 200G EVR,,0
GARLIC PICKLE 250g AHA,vegetables,0
GOLDEN KIWI FRUIT BIG,fruits,0
RED CHILLI PAPAD 200G EVR,vegetables,0
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,vegetables,0
HEKTAPY HEALTHY DEL JOWAR 125G,,0
HEKTAPY RAJGIRI COOKIES 125g,,0
KASOORI METHI PAPAD 200G EVR,vegetables,0
STAR PAPAD 200G EVR,,0
IDLY RAWA ORANGE 1KG AISHWARYA,fruits,0
SMALL AMLA,,0
BAMBINO VERMICELLI 500GM,,0
COKE 250ML,,0
CORN FLOUR 200g EVR,,0
ENG ITEM PARSLEY SAMBERRY,,0
FRUIT BASKET 450 SADGURU,fruits,0
LOTUS ECLAIRS  250G,,0
THREE MANGO RAI PWD 500G,fruits,0
red thotakura,,0
CHIKKUDUKAYA PICKLE 250g AHA,,0
LETTUCE RED ENG ITEM SAMBERRY,vegetables,0
THREE MANGO MIRCHI PWD 200G,fruits,0
THUMMIKURA,,0
WHOLE WHEAT BREAD 400g MR BREADY NANDAS,,0
ASPARAGUS KG SAMBERRY,,0
BITTER GUARD PICKLE 250G VELLANKI FOODS,vegetables,0
FRUIT BASKET 240 SADGURU,fruits,0
KANDI KARAM 250GM AHA,,0
KARIVEPAKU KARAM 250g AHA,,0
MUNAGAKU KARAM 250g AHA,,0
SAUNF 100gm EVR,,0
TAMARIND PICKLE250G VELLANKI FOODS,,0
AASHIRVAD CHILLI PWD 100G,vegetables,0
AMUL INDIA TWILIGHT TRYST 125g,,0
IMP ORANGE CANE,fruits,0
MARATHI MOGGA 50gms EVR,,0
MODERN  CRUST PIZZA BASE 150g,,0
WHITE JOWAR RAWA 500g,,0
