product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility
PINK LADY APPLE,648.13,4.03,2.53,17.23,236727.24,2025-04-07,2025-09-30,161,0.6277915632754342
PISTA FLAVOURED MILK 200ML HERITAGE,236.0,2.34,1.5,7.0,7080.0,2025-04-01,2025-09-30,101,0.6410256410256411
PISTA GREEN SHELLED KG FLYBERRY,10.14,0.18,0.21,1.58,27287.05,2025-04-06,2025-09-28,56,1.1666666666666667
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,212.0,2.26,1.56,8.0,6330.0,2025-04-02,2025-09-28,94,0.6902654867256638
PLUMS LOCAL BOX ANAND,50.0,2.27,1.2,5.0,3554.0,2025-06-22,2025-08-24,22,0.5286343612334802
POHA MEDIUM 500g,212.0,1.86,1.06,6.0,11552.25,2025-04-03,2025-09-30,114,0.5698924731182796
POKCHOY LEAF SAMBERRY,4.66,0.22,0.06,0.32,1061.06,2025-04-07,2025-09-13,21,0.2727272727272727
POMEGRANATE CANE,5.0,1.25,0.5,2.0,500.0,2025-08-23,2025-09-09,4,0.4
POMEGRANATE JUICE,69.0,1.33,0.62,3.0,12420.0,2025-04-03,2025-09-30,52,0.46616541353383456
POMEGRANATE SEEDS,11.0,1.38,0.74,3.0,1089.0,2025-07-29,2025-09-09,8,0.5362318840579711
PONAGANTI KURA,107.18,0.76,0.53,2.78,7518.32,2025-04-01,2025-09-30,141,0.6973684210526316
POOJA GINGELLY OIL 1LTR,22.0,1.22,0.43,2.0,5940.0,2025-06-27,2025-09-28,18,0.3524590163934426
POOJA OIL 500ML,28.0,1.17,0.38,2.0,3892.0,2025-04-02,2025-09-28,24,0.3247863247863248
POOJA PATRI PACK,59.0,29.5,9.19,36.0,1947.0,2025-08-26,2025-08-27,2,0.31152542372881353
POTATO,9951.98,54.38,16.09,118.8,487956.76,2025-04-01,2025-09-30,183,0.29588083854358216
POTATO CHIPS 200G EVR,10.0,1.11,0.33,2.0,680.0,2025-04-13,2025-06-01,9,0.29729729729729726
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,784.0,3.53,2.19,11.0,43120.0,2025-04-01,2025-09-30,222,0.6203966005665723
PREMIUM SANDWICH BREAD 400g SPENCERS AKSHAYA FOODS ENGLISH RECIPE,101.0,1.53,0.75,4.0,5555.0,2025-06-14,2025-09-30,66,0.49019607843137253
PRM BROWN BREAD 400g MR BREADY NANDAS,39.0,1.39,1.03,6.0,2145.0,2025-06-18,2025-09-23,28,0.7410071942446044
PRM CHITTIMUTYALU RICE 1KG GAJANAN,5.0,1.25,0.5,2.0,850.0,2025-06-15,2025-07-19,4,0.4
PRM HMT RAW RICE 26KG BAG GAJANAN,24.0,1.09,0.29,2.0,43428.0,2025-04-04,2025-09-29,22,0.2660550458715596
